Title,Date,Summary
Donald Trump Raup Keuntungan Rp112 Miliar dari Penjualan Koleksi NFT,"Jumat, 16 Agustus 2024","Sebuah laporan keuangan terbaru mengungkapkan bahwa mantan Presiden Amerika Serikat, Donald Trump, telah berhasil meraup lebih dari US$7,15 juta setara lebih dari Rp112 miliar dari penjualannon-fungible token(NFT).Berdasarkan laporan keuangan pribadi yang diperoleh olehCitizens for Ethics, Trump melaporkan bahwa ia saat ini menyimpan aset kripto berbasis Ethereum senilai US$1 juta (setara Rp16 miliar) hingga US$5 miliar (setara Rp78 miliar).Dirinya juga mengungkapkan telah mendapatkan pendapatan lebih dari US$7,15 juta miliar dari tiga koleksi NFT Trump Digital Trading Card, termasuk koleksiMugshotsserta dua seri lainnya.Data dariOpenSeamenunjukkan bahwa Trump Digital Trading Card telah mencatat volume perdagangan lebih dari 15.808 ETH sejak pertama kali diluncurkan.Pada Juli, Trump mengisyaratkan akan merilis seri NFT keempatnya dengan mengklaim bahwa “masyarakat di AS menginginkan koleksi NFT baru.”Baca juga:Donald Trump  Rilis Koleksi NFT Ketiga, Segini Harganya!Bisnis Kripto Donald TrumpSelain menawarkan koleksi NFT, Trump baru-baru ini juga meluncurkan lini produksneakersbertemakan Bitcoin pada awal Agustus.Koleksihi-topsBitcoin berwarna oranye dijual dengan harga US499 atau setara Rp7,8 juta per pasang dan habis terjual hanya dalam beberapa jam meskipun jumlahnya terbatas sekitar 1.000 pasang.Baca juga:Donald Trump Luncurkan Sneakers Bertema BitcoinData dariArkham Intelligencemenunjukkan bahwa aset kripto Trump berbasis Ethereum saat ini telah mencapai US$3,6 juta."
"Krisis Suplai Listrik, Iran Tawarkan Bounty Bagi Pelapor Miner Kripto Ilegal","Jumat, 16 Agustus 2024",Pemerintah Iran dilaporkan telah menawarkan insentif bagi pelaporminerkripto ilegal di negaranya.
"Vitalik Buterin Donasikan Koleksi Meme Coin Bernilai Rp8,3 Miliar untuk Badan Amal","Jumat, 16 Agustus 2024","Vitalik Buterin, Co-Founder Ethereum, telah mendonasikan seluruh koleksi meme coin bertema hewan yang dimilikinya kepada sebuah lembaga amal yang berfokus pada kesejahteraan hewan.Dalam sebuah unggahan di X pada 15 Agustus, Buterin menyatakan bahwa ia telah menyalurkan semua meme coin yang diterimanya selama setahun terakhir yang bernilai sekitar 200 ETH atau setara dengan Rp8,3 miliar kepada Animal Welfare Fund dari Effective Altruism Funds.Charity donation done, covering all animal coins from the past year or so!That said, I appreciate it if coin holdings just get allocated to the charities directly😊It's 2024, we can start doing more sophisticated public goods fun-ding, eg."
"Pasar Kripto Lesu, Harga Bitcoin Turun ke US$56.000","Jumat, 16 Agustus 2024","Setelah melewati pekan yang relatif tenang, harga Bitcoin (BTC) kembali mengalami volatilitas dengan fluktuasi harga yang cukup tajam selama beberapa hari terakhir.Berdasarkan data dariCoinMarketCappada Jumat pagi (16/8/2024), harga Bitcoin mencatat penurunan drastis dari kisaran US$59.400 menjadi US$57.500.Aset kripto terbesar ini bahkan terus terjun hingga menyentuh level US$56.630 sebelum akhirnya pulih dan ke harga US$57.420."
CoinGecko Bersiap Gelar Konferensi Web3 GeckoCon di Thailand,"Kamis, 15 Agustus 2024","CoinGecko, agregator data kripto independen terbesar di dunia, secara resmi mengumumkan pelaksanaan konferensihybridperdananya yang bertajukGeckoCon: Web3 Games Unleashed.Acara ini akan berlangsung pada tanggal 11 November 2024 di ICONSIAM, Bangkok, Thailand.Menurut rilis pers pada 15 Agustus,GeckoCon: Web3 Game Unleashedbertujuan untuk menyoroti perkembangan dan tren terkini dalam industri game Web3."
Circle Bakal Hadirkan Fitur Pembayaran USDC via NFC di iPhone,"Kamis, 15 Agustus 2024","Jeremy Allaire, CEO dari penerbit stablecoin Circle, mengumumkan rencana perusahaan untuk meluncurkan fitur pembayarantap-to-paymenggunakan USDC pada perangkat iPhone.Langkah ini dilakukan setelah Apple memutuskan untuk mengizinkan pengembang pihak ketiga mengakseschippembayaran yang aman di perangkat mereka.Dalam sebuah postingan di platform X pada 14 Agustus, Allaire mengungkapkan, “tap-to-paydengan USDC di iPhone akan segera hadir."
OJK Targetkan Transaksi Kripto Sentuh Rp1.000 Triliun pada 2028,"Kamis, 15 Agustus 2024","Otoritas Jasa Keuangan (OJK) telah menetapkan target untuk sektor kripto dalamRoadmapPengembangan dan Penguatan Inovasi Teknologi Sektor Keuangan, Aset Keuangan Digital, dan Aset Kripto (IAKD) untuk periode 2024-2028.Langkah ini menyusul persiapan peralihan pengawasan aset kripto dari Badan Pengawas Perdagangan Berjangka Komoditi (Bappebti) pada awal tahun 2025.Baca juga:OJK Rilis Roadmap  Pengembangan  Sektor Keuangan Digital dan KriptoDalamroadmaptersebut, OJK memproyeksikan bahwa nilai transaksi kripto dapat meningkat lebih dari tiga kali lipat, dari Rp301,75 triliun sepanjang Januari hingga Juni 2024 menjadi Rp1.000 triliun pada tahun 2028.Selain peningkatan nilai transaksi kripto, OJK juga menargetkan pertumbuhan signifikan dalam jumlah produk, layanan, aktivitas, dan model bisnis dalam Inovasi Teknologi Sektor Keuangan (ITSK).Jumlah produk dan layanan ITSK diharapkan meningkat dari 5 menjadi 100, sementara total kemitraan ITSK diproyeksikan meningkat dari 953 menjadi 5.000 kemitraan."
Metamask Luncurkan Kartu Debit Kripto Bersama Mastercard,"Kamis, 15 Agustus 2024","MetaMask bekerja sama dengan Mastercard dan Baanx untuk meluncurkan kartu debit kripto bernama MetaMask Card.Dalam sebuahpengumumanpada 14 Agustus, MetaMask mengatakan bahwa integrasi ini memungkinkan pengguna untuk memanfaatkan aset kripto mereka dalam pembayaran sehari-hari."
"Avail Rilis Mainnet, Ini Cara Menggunakan Token AVAIL","Kamis, 15 Agustus 2024",Token AVAIL adalah token utilitas asli yang penting bagi ekosistem Avail.
"AS Pindahkan Bitcoin, Harga BTC Gagal Reli!","Kamis, 15 Agustus 2024","Pada 14 Agustus, pemerintah Amerika Serikat kembali memindahkan Bitcoin yang disita dari kasus Silk Road ke Coinbase Prime, yang menyebabkan penurunan harga Bitcoin setelah sebelumnya sempat mencapai US$61.000.Data dariArkham Intelligencemengungkapkan bahwa hampir 10.000 BTC senilai US$593,9 juta atau sekitar Rp9,3 triliun telah dipindahkan dariwalletdengan domain “bc1ql” kewalletdeposit Coinbase Prime.Pemerintah AS memindahkan 9999.99 BTC ke wallet baru."
Dua Bank Terkemuka di AS Bocorkan Alokasi Investasi ETF Bitcoin Spot,"Kamis, 15 Agustus 2024","Minat institusional terhadap exchange-traded funds (ETFs) Bitcoin terus meningkat, dengan bank-bank investasi besar AS seperti Goldman Sachs dan Morgan Stanley secara signifikan memperluas kepemilikan mereka.Dalam pengajuan terakhirnya ke SEC, Goldman Sachs mengungkapkan kepemilikan signifikan di iShares Bitcoin ETF (IBIT) milik BlackRock senilai US$238,7 juta, serta investasi besar di Fidelity Wise Bitcoin ETF (FBTC), Invesco Galaxy Bitcoin ETF (BTCO), dan Grayscale Bitcoin ETF (GBTC)."
"Game  Tap to Earn Aptos, Tapos Hadir di Telegram","Rabu, 14 Agustus 2024","Pada 13 Agustus,gameTapos Cat berbasis jaringan Aptos secara resmi mengumumkan peluncurangame tap-to-earnterbaru mereka yakni Tapos Game #2 yang kini dapat diakses melalui Telegram dan situs web resmi mereka.Tapos Game #2: Jump Jump and Jump is officially Live on@Aptos😻Try it here:💻On Browser:https://t.co/hK2OLqTtlF📲 On Telegram:https://t.co/gW0FesWwB3Get ready for a summer of feline fun!"
10x Research Optimis Faktor Ini Bisa Picu Reli Harga Bitcoin,"Rabu, 14 Agustus 2024","Analis dari 10x Research, Markus Thielen, menyatakan bahwa penerbitan stablecoin memiliki potensi besar untuk menjadi faktor utama dalam kenaikan harga Bitcoin di masa depan.Dalamlaporanyang dirilis pada 13 Agustus, Thielen mengungkapkan bahwa hampir US$2,8 miliar stablecoin setara dengan Rp43,7 triliun telah diterbitkan oleh penyedia stablecoin seperti Tether dan Circle selama pekan sebelumnya."
"Launchpad Meme Coin Pump.fun Dikecam Komunitas Kripto, Ini Alasannya!","Rabu, 14 Agustus 2024","Pump.fun, sebuah platformlaunchpadmeme coin di jaringan Solana, kini menjadi sorotan setelah menjadi tempat favorit untuk menciptakan meme coin dalam hitungan menit dengan biaya rendah."
"Pencils Protocol Rilis SOUL NFT Drops, Ini Cara Berpartisipasi!","Rabu, 14 Agustus 2024","Pencils Protocol, platform keuangan terdesentralisasi (DeFi) di blockchain Scroll, mengumumkan peluncuran acaraSOUL NFTDrops.Inisiatif ini merayakan pertumbuhan impresif Pencils Protocol dan bertujuan untuk memperdalam keterlibatan dalam komunitas yang berkembang dengan menawarkan hadiah unik melalui teknologiNFTyang inovatif.Acara SOUL NFT Drops akan dimulai pada 5 Agustus 2024, pukul 00:00 UTC dan akan berlangsung hingga akhir Agustus 2024, dengan kemungkinan perpanjangan bergantung pada partisipasi komunitas.Acara ini dirancang untuk memberikan penghargaan kepada peserta aktif dan meningkatkan pengalaman mereka dalam ekosistem Pencils Protocol.Pencils Protocol  juga memperkenalkan program referensi."
"Unduhan Bitget Wallet Lampaui MetaMask, Ini Penyebabnya!","Rabu, 14 Agustus 2024",Bitget Wallet berhasil melampaui MetaMask dalam jumlah unduhan aplikasi.
FBI Enggan Konfirmasi Rekam Jejak Satoshi Nakamoto,"Rabu, 14 Agustus 2024","Biro Investigasi Federal Amerika Serikat (FBI) dilaporkan telah menanggapi permintaan berdasarkan Freedom of Information Act (FOIA) atau undang-undang kebebasan informasi dari Dave Troy, seorang pengusaha teknologi dan jurnalis investigatif, yang ingin mengungkap informasi tentang pencipta Bitcoin yang misterius yakni Satoshi Nakamoto.Baca juga:Siapa Satoshi Nakamoto?"
Token Celestia Naik 14% Jelang Upgrade Pertama pada Jaringan,"Rabu, 14 Agustus 2024","Token Celestia (TIA) menjadi salah satu altcoin dengan performa terbaik saat ini, dengan harga yang terus meningkat menjelang pembaruan jaringan yang dinamakan “Lemongrass.”Berdasarkan data dariCoinMarketCap, harga TIA mulai meroket pada Rabu (13/8/2024) malam, mencatat kenaikan sekitar 14% dari US$5,60 menjadi US$6,39 dalam kurun waktu tiga jam.Grafik pergerakan harga Celestia dalam sepekan terakhir."
"Investor Kembali Akumulasi Bitcoin, Tren Bullish Mulai Mencuat","Rabu, 14 Agustus 2024","Investor kembali menunjukan minat untuk menyimpan dan mengakumulasi Bitcoin.Berdasarkan data yang dirilisGlassnode(13/8/24) menunjukkan bahwa pemegang jangka panjang ataulong term holders(LTH) danwhalememulai kembali tren ini, sehingga prospek untukbullishBitcoin kembali mencuat di tengah volatilitas pasar.Indikator Mulai Terjadi Akumulasi BitcoinAccumulation Trend Score (ATS), metrik penting yang mengevaluasi perubahan saldo tertimbang di seluruh pasar, telah mencapai nilai tertinggi 1.0."
Meme Coin Trump Kompak Ambruk Gara-gara Ini!,"Selasa, 13 Agustus 2024","CEO Tesla Elon Musk berhasil mengadakan wawancara bersama calon presiden AS Donald Trump di X Space pada 12 Agustus, dengan lebih dari satu juta pendengar bergabung dalam diskusi tersebut.Namun, pembahasan tersebut tampaknya tidak melibatkan kripto yang memicu kekecewaan di kalanganCryptoTwitter.Baca juga:Platform X Milik Elon Musk Dapatkan Lisensi untuk Pembayaran KriptoTidak Ada Pembahasan Mengenai KriptoSebelumnya, komunitas kripto sangat antusias menantikan diskusi antar kedua tokoh tersebut."
Bank Swasta Terbesar di Singapura Uji Coba Token Treasury,"Selasa, 13 Agustus 2024","DBS Bank, bank swasta terbesar di Singapura berdasarkan aset, telah bermitra dengan Ant International, cabang global Ant Group, untuk menguji solusi berbasis blockchain yang inovatif.Keduanya meluncurkan “DBS Treasury Tokens” untuk menyederhanakan pengelolaan perbendaharaan dan likuiditas, serta memberikan kemudahan finansial yang lebih besar di dunia digital saat ini.Baca juga:Singapura Perketat Aturan untuk Operasional Perusahaan KriptoDBS memanfaatkan blockchain berizin yang kompatibel dengan Ethereum Virtual Machine (EVM) dan terintegrasi dengan sistem pembayaran inti bank."
"Marathon Digital Ingin Kumpulkan Rp3,9 Triliun untuk Borong Bitcoin","Selasa, 13 Agustus 2024","Marathon Digital, perusahaanminingBitcoin yang berbasis di Amerika Serikat, baru-baru ini mengumumkan rencananya untuk mengumpulkan dana sebesar US$250 juta setara Rp3,9 triliun guna memperluas kepemilikan Bitcoin mereka.Dalam sebuahpengumumanpada Senin (12/8/2024), Marathon mengungkapkan bahwa dana tersebut akan diperoleh melalui penawaran obligasi konversi secara pribadi."
Kota Bitcoin El Salvador Raup Investasi Bernilai Rp25 Triliun!,"Selasa, 13 Agustus 2024","El Salvador meraih investasi sebesar US$1,6 miliar atau setara dengan Rp25,3 triliun dari perusahaan Turki, Yilport Holdings untuk membangun Bitcoin City."
"Startup Kripto Raih Dana Investasi Hingga Rp42,8 Triliun di Q2 2024","Selasa, 13 Agustus 2024","Pada kuartal kedua 2024, pendanaan investasi untukstartupdi sektor kripto mencatat peningkatan sebesar 2,5% dibandingkan dengan kuartal pertama tahun ini."
"Dominasi Bitcoin Turun, Altcoin Diprediksi Bullish","Selasa, 13 Agustus 2024","Metrik dominasi Bitcoin (BTC.D), yang mengukur nilai Bitcoin relatif terhadap aset kripto lainnya, menunjukkan penurunan setelah sempat mencapai puncaknya di 57,70% pada 9 Agustus.Menurut data dariTradingViewSelasa (13/8/2024) pagi, dominasi Bitcoin turun menjadi 56,89% seiring dengan penurunan harga Bitcoin yang berada di kisaran US$58.700 pada saat itu.Pengamat pasar kini memprediksi bahwa melemahnya dominasi Bitcoin dapat mendorong altcoin untukbullish, menciptakan kondisi yang dikenal sebagaialtcoin season.Altcoin seasonmerujuk pada sebuah periode di mana 75% dari 50 altcoin teratas mengungguli Bitcoin."
"Token SUI Meroket 70% dalam Sepekan, Ini Faktor Pendorongnya!","Selasa, 13 Agustus 2024","Token SUI, tokennativedari blockchain Sui, mencatatkan lonjakan harga signifikan sebesar 70% dalam sepekan terakhir."
Thailand Rilis Sandbox untuk Dukung Inovasi di Sektor Kripto,"Senin, 12 Agustus 2024",Thailand baru-baru ini memperkenalkanregulatory sandboxyang dirancang khusus untuk para pelaku industri kripto di negara tersebut.
Agoric Orchestration Berambisi Ciptakan Web3 Terintegrasi,"Senin, 12 Agustus 2024","Agoric memperkenalkan solusi Orchestration yang memfasilitasi interaksi lintas rantai, sehinga pengguna dan pengembang bisa mendapatkan pengalaman Web3 yang mudah dan efisien.Visi Agoric untuk Web3 yang TerintegrasiPengalaman Web3 saat ini sering kali rumit, dengan aset yang terbatas pada platform tertentu, sehingga mengurangi kemudahan dan efisiensi yang seharusnya dirasakan pengguna.Meskipun pengembang di ekosistem Web3 telah mencoba mengatasi masalah ini, mereka sering menghadapi tantangan dalam membangun aplikasi yang dapat beroperasi mulus di berbagai blockchain.Mengatasi permasalahan ini, Agoric menawarkan solusi dengan visi ekonomi terdistribusi yang terpadu."
"ETF Ether Spot di AS Catat Arus Dana Positif Hingga Rp1,6 Triliun","Senin, 12 Agustus 2024","Exchange-Traded Fund (ETF) Ethereum Spot di Amerika Serikat berhasil mencatat arus dana bersih positif untuk pertama kalinya sejak diluncurkan pada 23 Juli 2024.Menurut data dariSoSoValue, sembilan ETF Ether spot secara keseluruhan menerima arus masuk dana sekitar US$105 juta setara Rp1,6 triliun selama perdagangan pekan lalu yang berlangsung dari 5 hingga 9 Agustus.Hal ini mendorong total nilai perdagangan ETF Ether mencapai US$1,9 miliar atau sekitar Rp30,3 triliun, dengan total aset bersih sebesar US$7,3 miliar setara Rp116,5 triliun per 9 Agustus.Baca juga:Brasil Setujui ETF Spot Solana Pertama di DuniaETF Ether Didominasi BlackRock dan FidelityDi antara produk ETF Ether lainnya, BlackRock iShares Ethereum Trust (ETHA) tetap memimpin dengan arus masuk dana sebesar US$188 juta selama perdagangan pekan lalu."
"CPI Juli Diprediksi Turun, Harga Kripto Diharapkan Positif","Senin, 12 Agustus 2024","Pasar kripto tengah bersiap menghadapi rilis Indeks Harga Konsumen (CPI) AS bulan Juli yang akan dipublikasi pada 14 Agustus 2024 waktu setempat.Data penting tersebut diprediksi akan menjadi penentu arah pasar kripto pada bulan-bulan mendatang, karena hasil laporan ini dapat membentuk sentimen pasar dan memengaruhi keputusan Komite Pasar Terbuka Federal (FOMC), khususnya terkait kemungkinan penurunan suku bunga.Dalam pertemuan bulan Juli, Fed mengisyaratkan kemungkinan penurunan suku bunga pada bulan September, dengan catatan bahwa tanda-tanda disinflasi berlanjut.Baca juga:FOMC Meeting dan Pengaruhnya Terhadap KriptoJika laporan CPI mengonfirmasi adanya perlambatan ekonomi, Fed kemungkinan akan melanjutkan penurunan suku bunga, yang dapat meningkatkan likuiditas pasar dan mendorong kenaikan harga aset, termasuk mata uang kripto.Sebelumnya, data CPI bulan Juni mengungkapkan peningkatan bulanan yang moderat sebesar 0,1% dalam inflasi inti, dengan tingkat inflasi tahunan sebesar 3%.Melihat data bulan Juni, para ekonom memperkirakan CPI bulan Juli akan menunjukkan sedikit penurunan, dengan CPI keseluruhan berpotensi turun dari 3,0% menjadi 2,9% dan CPI inti turun dari 3,3% menjadi 3,2%.Jika prediksi ini benar, maka ekspektasi penurunan suku bunga berpeluang untuk memicu reli di pasar kripto.Baca juga:CEO CryptoQuant Sebut Bitcoin Telah Kembali ke Sinyal BullishMenanti Laporan Ekonomi LainnyaDi sisi lain, laporan CPI bukan satu-satunya indikator ekonomi yang dapat memengaruhi pasar kripto minggu ini."
"Celsius Gugat Tether untuk Pulihkan Bitcoin Senilai Rp53,5 Triliun","Senin, 12 Agustus 2024","Celsius,exchangekripto yang bangkrut, mengajukan gugatan terhadap penerbit stablecoin Tether."
"Binance Diblokir Pemerintah Venezuela, Imbas Kisruh Pemilu","Senin, 12 Agustus 2024",Pemerintah Venezuela blokir akses warganya ke X dan Binance.
OJK Pertimbangkan Penyesuaian Pajak Kripto Bersama Kemenkeu,"Senin, 12 Agustus 2024","Otoritas Jasa Keuangan (OJK) dilaporkan sedang merencanakan pembahasan terkait penyesuaian tarif pajak baru untuk transaksi kripto, yang akan dikoordinasikan bersama Kementerian Keuangan (Kemenkeu) Republik Indonesia.Kepala Eksekutif Pengawas Inovasi Teknologi Sektor Keuangan, Aset Keuangan Digital dan Aset Kripto OJK Hasan Fawzi menyatakan bahwa langkah ini merupakan bagian dari proses transisi pengawasan kripto dari Badan Pengawas Perdagangan Berjangka Komoditi (Bappebti) ke OJK, yang dijadwalkan berlangsung pada Januari 2025.Sebagai informasi, pemerintah telah menetapkan pajak pada aset kripto melalui Peraturan Menteri Keuangan (PMK) Republik Indonesia Nomor 68/PMK.03/2022 yang mulai berlaku pada 1 Mei 2022."
CEO CryptoQuant Sebut Bitcoin Telah Kembali ke Sinyal Bullish,"Senin, 12 Agustus 2024","Ki Young Ju, CEO dan analis di CryptoQuant, menyampaikan pandangannya bahwa Bitcoin telah kembali masuk ke dalam siklusbull marketberdasarkan dataon-chain.Baca juga:Memahami Bull Market untuk Investor Kripto PemulaDalam sebuahpostingandi X pada 9 Agustus, Young Ju menjelaskan bahwa indikator siklusbull-bear market, yang bertugas melacak sentimen investor, telah kembali menunjukkan sentimenbullishsetelah sebelumnya berada di garisbear.Indikator siklusbull-bear market.Sumber: CryptoQuant“Sebagian besar indikator siklus Bitcoinon-chainyang sebelumnya berada di dekat garis batas kini telah berbalik mengindikasikanbull market."
Anak Donald Trump akan Rilis Platform Kripto untuk Saingi Bank Tradisional,"Jumat, 09 Agustus 2024","Donald Trump Jr., putra sulung mantan presiden AS, berencana meluncurkan platform keuangan terdesentralisasi (DeFi) untuk menentang sistem perbankan tradisional.Dalam sesi tanya jawab di platform Locals pada 8 Agustus, Trump Jr."
Franklin Templeton Hadirkan Dana Tokenisasi di Arbitrum,"Jumat, 09 Agustus 2024","Franklin Templeton, salah satu manajer aset global terkemuka, telah meluncurkan dana pasar uang berbasis blockchain, Franklin OnChain US Government Money Fund (FOBXX), di jaringan Layer-2 Ethereum, Arbitrum.FOBXX adalah dana yang menginvestasikan setidaknya 99,5% dari total asetnya dalam sekuritas pemerintah AS, uang tunai, dan perjanjian pembelian kembali yang dijaminkan sepenuhnya oleh pemerintah AS,” menurut situs web penerbitnya.Dana ini bertujuan untuk menawarkan pengembalian yang relatif tinggi kepada investor institusional dan ritel dengan berinvestasi dalam sekuritas pemerintah dan instrumen terkait.FOBXX sebelumnya diluncurkan di Stellar dan kemudian diperluas ke Polygon, kini hadir diArbitrum."
"YEY Quest Season 1 Resmi Berakhir, 1.100 Pengguna Ikut Berpartisipasi!","Jumat, 09 Agustus 2024","YEY Tech, sebuah platform berbasis komunitas Web3 yang dibangun oleh BlockchainSpace, baru-baru ini mengumumkan telah sukses menggelar musim pertama YEY Quest.Yey Quest merupakan sebuah program yang memungkinkan anggota komunitas untuk memperoleh imbalan melalui partisipasi aktif dalam berbagai kuis di platform tersebut.Baca juga:YEY: Platform Web3 untuk Memberdayakan KomunitasMenurutpostingan blogpada Kamis (8/8/2024), YEY Quest Season 1 resmi berakhir pada 7 Agustus, dengan total 1.100 partisipan yang berpartisipasi dalam program ini dan lebih dari 400.000 XP didistribusikan kepada mereka.Adapun selama musim pertama ini, YEY Tech mencatat hingga 933 komunitas YEY dan 20.959 pengguna di platformnya.“Kami ingin mengucapkan terima kasih kepada semua yang telah berpartisipasi dan berkontribusi terhadap kesuksesan ini."
"OJK: Influencer Kripto Boleh Promosi, Tapi Ada Syaratnya","Jumat, 09 Agustus 2024","Otoritas Jasa Keuangan (OJK) mengklarifikasi bahwainfluencerkripto tidak dilarang untuk mempromosikan aset kripto, tetapi promosi tersebut hanya boleh dilakukan melalui platform resmi yang bekerja sama dengan penyelenggara kegiatan aset kripto yang terdaftar dan berizin.Kepala Eksekutif Pengawas Inovasi Teknologi Sektor Keuangan, Aset Keuangan Digital, dan Aset Kripto sekaligus Anggota Dewan Komisioner OJK, Hasan Fawzi, menekankan pentingnya mematuhi aturan yang telah ditetapkan dalam Peraturan OJK (POJK) Nomor 22 Tahun 2023 tentang Perlindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan.“Jadi bukan tidak boleh, tapi misalnya kalaupun influencer itu mau dimanfaatkan maka dia dilakukannya dengan pengikatan dan kerja sama dengan penyelenggara kegiatan di aset kripto itu sendiri."
Hamster Kombat Ungkap Detail Baru untuk Airdrop Token HMSTR,"Jumat, 09 Agustus 2024","Hamster Kombat, game kriptotap-to-earnberbasis Telegram, telah merilis detail terbaru mengenai peluncuran airdrop token HMSTR yang akan datang, memberikan kejelasan bagi para pemain yang telah lama menunggu perilisannya.Kini, para pemain memiliki peluang besar untuk mendapatkan poin airdrop dengan berpartisipasi dalam berbagai aktivitas yang tersedia dimini apptersebut.Dear CEOs,We are happy to announce that the AirDrop section inside the Hamster Kombat app has been updated.You can now get to know more about the items that will play a role in the token distribution.Please note that these are not all of the conditions.Stay tuned for…pic.twitter.com/ebXuhhvFtT— Hamster Kombat (@hamster_kombat)August 8, 2024Para pemain dapat mengumpulkan lebih banyak poin dengan melakukan beragam aktivitas seperti mengumpulkan pendapatan pasif, menyelesaikan tugas harian, mengundang teman, meraih pencapaian, berlangganan kanal Telegram, serta mengumpulkan kunci melaluimini game.“Setiap aktivitas penting, mulai dari cara bermain, aktivitas sosial, hingga perolehan kunci."
